"Maker","Prod","ID","Desc","Color","Discon"
"Anchor","Emb","1082",,"9f816c","0"
"Anchor","Emb","880","Copper - LT","e2c0a5","0"
"Anchor","Emb","9575","Brick - MED LT","dc9479","0"
"Anchor","Emb","309","Topaz - DK","ad5f26","0"
"Anchor","Emb","42","Carmine Rose - MED","b40a3e","0"
"Anchor","Emb","4146","Sportsman Flesh","eabaa4","0"
"Anchor","Emb","65","Antique Rose - VY DK","980c47","0"
"Anchor","Emb","369","Spice - MED","b87243","0"
"Anchor","Emb","365","Nutmeg - DK","a96014","0"
"Anchor","Emb","363","Nutmeg - MED","e09638","0"
"Anchor","Emb","96","Violet - LT","d18eb7","0"
"Anchor","Emb","368","Spice - MED LT","d29a64","0"
"Anchor","Emb","302","Citrus - MED LT","fabd48","0"
"Anchor","Emb","366","Spice - VY LT","e9c797","0"
"Anchor","Emb","303","Citrus - MED","fa9517","0"
"Anchor","Emb","358","Coffee","75371a","0"
"Anchor","Emb","386","Citrus - VY LT","f5e7c9","0"
"Anchor","Emb","361","Nutmeg - LT","eec38a","0"
"Anchor","Emb","360","Coffee - DK","532b19","0"
"Anchor","Emb","1002","Antique Gold - LT","ed8b1d","0"
"Anchor","Emb","111","Lavender - MED DK","5d2e84","0"
"Anchor","Emb","300","Citrus - LT","f7dd9f","0"
"Anchor","Emb","370","Spice - MED DK","97491b","0"
"Anchor","Emb","376","Fawn - LT","d7ad98","0"
"Anchor","Emb","381","Fudge - MED","3d1d11","0"
"Anchor","Emb","380","Fudge","472117","0"
"Anchor","Emb","298","Jonquil - DK","fbb51e","0"
"Anchor","Emb","372","Desert - LT","e3bb85","0"
"Anchor","Emb","10","Salmon - MED","e15a52","0"
"Anchor","Emb","301","Citrus","f5d484","0"
"Anchor","Emb","373","Desert - MED","c4975e","0"
"Anchor","Emb","374","Desert - MED","a36e36","0"
"Anchor","Emb","1094",,"fc9ec5","0"
"Anchor","Emb","1098",,"d41829","0"
"Anchor","Emb","11","Salmon - MED DK","e13e29","0"
"Anchor","Emb","110","Lavender - MED","7a52a5","0"
"Anchor","Emb","341","Terra Cotta - DK","8d2419","0"
"Anchor","Emb","352","Bark - DK","6d1815","0"
"Anchor","Emb","778","Flesh - LT","eec6ab","0"
"Anchor","Emb","70","Raspberry - DK","6a0b32","0"
"Anchor","Emb","295","Jonquil - MED LT","fdd951","0"
"Anchor","Emb","112","Lavender - DK","542279","0"
"Anchor","Emb","1084",,"846550","0"
"Anchor","Emb","73","Antique Rose - VY LT","fcc3cc","0"
"Anchor","Emb","339","Terra Cotta - MED","b13f28","0"
"Anchor","Emb","820","Wheat","d19c4e","0"
"Anchor","Emb","46","Crimson Red","d3050d","0"
